id,linha,coluna,texto,curriculo_id,elenco_id,created_at,updated_at
1,1,1,CI068,3,12,2024-11-12 20:04:40.394406,2024-11-12 20:04:40.394416
2,2,1,CI055,3,2,2024-11-12 20:04:40.397816,2024-11-12 20:04:40.397823
3,3,1,CM046,3,29,2024-11-12 20:04:40.401084,2024-11-12 20:04:40.401092
4,4,1,CM045,3,28,2024-11-12 20:04:40.404431,2024-11-12 20:04:40.404438
5,5,1,CM201,3,30,2024-11-12 20:04:40.408341,2024-11-12 20:04:40.408349
6,1,2,CI210,3,19,2024-11-12 20:04:40.412065,2024-11-12 20:04:40.412073
7,2,2,CI056,3,3,2024-11-12 20:04:40.415492,2024-11-12 20:04:40.415499
8,3,2,CI067,3,11,2024-11-12 20:04:40.418708,2024-11-12 20:04:40.418715
9,4,2,CM005,3,27,2024-11-12 20:04:40.421840,2024-11-12 20:04:40.421847
10,5,2,CM202,3,31,2024-11-12 20:04:40.425519,2024-11-12 20:04:40.425527
11,1,3,CI212,3,21,2024-11-12 20:04:40.429134,2024-11-12 20:04:40.429141
12,2,3,CI057,3,4,2024-11-12 20:04:40.432657,2024-11-12 20:04:40.432664
13,3,3,CI064,3,9,2024-11-12 20:04:40.436037,2024-11-12 20:04:40.436044
14,4,3,CI237,3,26,2024-11-12 20:04:40.439135,2024-11-12 20:04:40.439141
15,5,3,CI166,3,17,2024-11-12 20:04:40.442271,2024-11-12 20:04:40.442277
16,1,4,CI215,3,22,2024-11-12 20:04:40.445840,2024-11-12 20:04:40.445848
17,2,4,CI062,3,8,2024-11-12 20:04:40.449426,2024-11-12 20:04:40.449433
18,3,4,CE003,3,1,2024-11-12 20:04:40.452847,2024-11-12 20:04:40.452853
19,4,4,CI058,3,5,2024-11-12 20:04:40.456206,2024-11-12 20:04:40.456213
20,5,4,CI164,3,15,2024-11-12 20:04:40.459444,2024-11-12 20:04:40.459450
21,1,5,CI162,3,13,2024-11-12 20:04:40.462485,2024-11-12 20:04:40.462498
22,2,5,CI065,3,10,2024-11-12 20:04:40.465500,2024-11-12 20:04:40.465506
23,3,5,CI059,3,6,2024-11-12 20:04:40.468341,2024-11-12 20:04:40.468348
24,4,5,CI061,3,7,2024-11-12 20:04:40.471311,2024-11-12 20:04:40.471317
25,5,5,SA214,3,32,2024-11-12 20:04:40.474417,2024-11-12 20:04:40.474424
26,1,6,CI163,3,14,2024-11-12 20:04:40.477454,2024-11-12 20:04:40.477460
27,2,6,CI165,3,16,2024-11-12 20:04:40.480485,2024-11-12 20:04:40.480491
28,3,6,CI209,3,18,2024-11-12 20:04:40.483763,2024-11-12 20:04:40.483769
29,4,6,CI218,3,23,2024-11-12 20:04:40.486757,2024-11-12 20:04:40.486763
30,5,6,CI220,3,24,2024-11-12 20:04:40.489786,2024-11-12 20:04:40.489793
31,1,7,CI221,3,25,2024-11-12 20:04:40.492892,2024-11-12 20:04:40.492899
32,2,7,CI211,3,20,2024-11-12 20:04:40.495890,2024-11-12 20:04:40.495896
33,3,7,OPT,3,33,2024-11-12 20:04:40.498953,2024-11-12 20:04:40.498959
34,4,7,OPT,3,33,2024-11-12 20:04:40.501697,2024-11-12 20:04:40.501704
35,5,7,TG I,3,34,2024-11-12 20:04:40.504806,2024-11-12 20:04:40.504813
36,1,8,OPT,3,33,2024-11-12 20:04:40.508360,2024-11-12 20:04:40.508377
37,2,8,OPT,3,33,2024-11-12 20:04:40.512610,2024-11-12 20:04:40.512620
38,3,8,OPT,3,33,2024-11-12 20:04:40.516283,2024-11-12 20:04:40.516291
39,4,8,OPT,3,33,2024-11-12 20:04:40.519844,2024-11-12 20:04:40.519851
40,5,8,TG II,3,35,2024-11-12 20:04:40.523178,2024-11-12 20:04:40.523184
41,1,1,CI1068,4,42,2024-11-12 20:04:40.526562,2024-11-12 20:04:40.526569
42,2,1,CI1055,4,39,2024-11-12 20:04:40.529655,2024-11-12 20:04:40.529662
43,3,1,CI1003,4,38,2024-11-12 20:04:40.532768,2024-11-12 20:04:40.532774
44,4,1,CMA111,4,47,2024-11-12 20:04:40.535891,2024-11-12 20:04:40.535897
45,5,1,CM304,4,50,2024-11-12 20:04:40.538921,2024-11-12 20:04:40.538928
46,1,2,CI1210,4,43,2024-11-12 20:04:40.542310,2024-11-12 20:04:40.542317
47,2,2,CI1056,4,40,2024-11-12 20:04:40.545484,2024-11-12 20:04:40.545491
48,3,2,CI1001,4,36,2024-11-12 20:04:40.548525,2024-11-12 20:04:40.548531
49,4,2,CMA211,4,48,2024-11-12 20:04:40.551456,2024-11-12 20:04:40.551462
50,5,2,CM303,4,49,2024-11-12 20:04:40.554539,2024-11-12 20:04:40.554546
51,1,3,CI1212,4,44,2024-11-12 20:04:40.557598,2024-11-12 20:04:40.557604
52,2,3,CI1057,4,41,2024-11-12 20:04:40.560813,2024-11-12 20:04:40.560820
53,3,3,CI1002,4,37,2024-11-12 20:04:40.563877,2024-11-12 20:04:40.563883
54,4,3,CI1237,4,45,2024-11-12 20:04:40.566813,2024-11-12 20:04:40.566819
55,5,3,CE009,4,46,2024-11-12 20:04:40.574199,2024-11-12 20:04:40.574216
56,1,4,CI1059,4,54,2024-11-12 20:04:40.577537,2024-11-12 20:04:40.577543
57,2,4,CI1350,4,71,2024-11-12 20:04:40.580651,2024-11-12 20:04:40.580657
58,3,4,CI1165,4,63,2024-11-12 20:04:40.583695,2024-11-12 20:04:40.583701
59,4,4,CI1164,4,62,2024-11-12 20:04:40.586767,2024-11-12 20:04:40.586774
60,5,4,CI1062,4,56,2024-11-12 20:04:40.589772,2024-11-12 20:04:40.589778
61,6,4,CI1064,4,57,2024-11-12 20:04:40.592883,2024-11-12 20:04:40.592889
62,1,5,CI1065,4,58,2024-11-12 20:04:40.596281,2024-11-12 20:04:40.596288
63,2,5,CI1058,4,53,2024-11-12 20:04:40.599561,2024-11-12 20:04:40.599568
64,3,5,CI1238,4,69,2024-11-12 20:04:40.602765,2024-11-12 20:04:40.602771
65,4,5,CI1162,4,60,2024-11-12 20:04:40.605848,2024-11-12 20:04:40.605854
66,5,5,CI1215,4,66,2024-11-12 20:04:40.608878,2024-11-12 20:04:40.608884
67,6,5,OPT,4,72,2024-11-12 20:04:40.611954,2024-11-12 20:04:40.611960
68,1,6,CI1209,4,64,2024-11-12 20:04:40.615224,2024-11-12 20:04:40.615230
69,2,6,CI1218,4,67,2024-11-12 20:04:40.618310,2024-11-12 20:04:40.618317
70,3,6,CI1061,4,55,2024-11-12 20:04:40.621290,2024-11-12 20:04:40.621296
71,4,6,CI1316,4,70,2024-11-12 20:04:40.624234,2024-11-12 20:04:40.624240
72,5,6,CI1163,4,61,2024-11-12 20:04:40.627355,2024-11-12 20:04:40.627362
73,6,6,OPT,4,72,2024-11-12 20:04:40.630223,2024-11-12 20:04:40.630229
74,1,7,CI1221,4,68,2024-11-12 20:04:40.633293,2024-11-12 20:04:40.633299
75,2,7,CI1007,4,52,2024-11-12 20:04:40.636943,2024-11-12 20:04:40.636950
76,3,7,OPT,4,72,2024-11-12 20:04:40.639866,2024-11-12 20:04:40.639872
77,4,7,OPT,4,72,2024-11-12 20:04:40.642800,2024-11-12 20:04:40.642806
78,5,7,TCC1,4,73,2024-11-12 20:04:40.645895,2024-11-12 20:04:40.645901
79,1,8,CI1211,4,65,2024-11-12 20:04:40.648908,2024-11-12 20:04:40.648914
80,2,8,CI1005,4,51,2024-11-12 20:04:40.651936,2024-11-12 20:04:40.651942
81,3,8,OPT,4,72,2024-11-12 20:04:40.654768,2024-11-12 20:04:40.654774
82,4,8,OPT,4,72,2024-11-12 20:04:40.657542,2024-11-12 20:04:40.657548
83,5,8,TCC2,4,74,2024-11-12 20:04:40.660538,2024-11-12 20:04:40.660544
84,3,9,Estágio,4,59,2024-11-12 20:04:40.663828,2024-11-12 20:04:40.663835
85,1,1,CI1003,5,77,2024-11-12 20:04:40.666896,2024-11-12 20:04:40.666902
86,2,1,CI1055,5,78,2024-11-12 20:04:40.669941,2024-11-12 20:04:40.669948
87,3,1,CM304,5,90,2024-11-12 20:04:40.672982,2024-11-12 20:04:40.672988
88,4,1,CM310,5,86,2024-11-12 20:04:40.675920,2024-11-12 20:04:40.675926
89,5,1,CI1068,5,81,2024-11-12 20:04:40.678950,2024-11-12 20:04:40.678957
90,1,2,CI1001,5,75,2024-11-12 20:04:40.681878,2024-11-12 20:04:40.681884
91,2,2,CI1056,5,79,2024-11-12 20:04:40.684814,2024-11-12 20:04:40.684821
92,3,2,CM303,5,89,2024-11-12 20:04:40.688035,2024-11-12 20:04:40.688041
93,4,2,CM311,5,87,2024-11-12 20:04:40.690988,2024-11-12 20:04:40.690994
94,5,2,CI1210,5,82,2024-11-12 20:04:40.694091,2024-11-12 20:04:40.694098
95,1,3,CI1002,5,76,2024-11-12 20:04:40.697053,2024-11-12 20:04:40.697059
96,2,3,CI1057,5,80,2024-11-12 20:04:40.700002,2024-11-12 20:04:40.700008
97,3,3,CI1237,5,84,2024-11-12 20:04:40.703092,2024-11-12 20:04:40.703098
98,4,3,CM312,5,88,2024-11-12 20:04:40.706062,2024-11-12 20:04:40.706068
99,5,3,CI1212,5,83,2024-11-12 20:04:40.708988,2024-11-12 20:04:40.708994
100,6,3,CE009,5,85,2024-11-12 20:04:40.711924,2024-11-12 20:04:40.711931
101,1,4,CI1350,5,111,2024-11-12 20:04:40.714920,2024-11-12 20:04:40.714926
102,2,4,CI1062,5,96,2024-11-12 20:04:40.717866,2024-11-12 20:04:40.717872
103,3,4,CI1165,5,103,2024-11-12 20:04:40.720845,2024-11-12 20:04:40.720851
104,4,4,CI1059,5,94,2024-11-12 20:04:40.724100,2024-11-12 20:04:40.724106
105,5,4,CI1064,5,97,2024-11-12 20:04:40.727087,2024-11-12 20:04:40.727093
106,6,4,CI1164,5,102,2024-11-12 20:04:40.730043,2024-11-12 20:04:40.730049
107,2,5,CI1162,5,100,2024-11-12 20:04:40.733028,2024-11-12 20:04:40.733034
108,3,5,CI1065,5,98,2024-11-12 20:04:40.736006,2024-11-12 20:04:40.736012
109,4,5,CI1238,5,109,2024-11-12 20:04:40.739112,2024-11-12 20:04:40.739118
110,5,5,CI1215,5,106,2024-11-12 20:04:40.742191,2024-11-12 20:04:40.742197
111,6,5,CI1058,5,93,2024-11-12 20:04:40.745208,2024-11-12 20:04:40.745214
112,7,5,OPT,5,112,2024-11-12 20:04:40.748232,2024-11-12 20:04:40.748238
113,1,6,CI1218,5,107,2024-11-12 20:04:40.751220,2024-11-12 20:04:40.751226
114,2,6,CI1163,5,101,2024-11-12 20:04:40.754232,2024-11-12 20:04:40.754238
115,4,6,CI1209,5,104,2024-11-12 20:04:40.757249,2024-11-12 20:04:40.757255
116,5,6,CI1316,5,110,2024-11-12 20:04:40.760402,2024-11-12 20:04:40.760409
117,6,6,CI1061,5,95,2024-11-12 20:04:40.763679,2024-11-12 20:04:40.763686
118,7,6,OPT,5,112,2024-11-12 20:04:40.766578,2024-11-12 20:04:40.766584
119,1,7,TCC1,5,113,2024-11-12 20:04:40.769564,2024-11-12 20:04:40.769570
120,2,7,CI1221,5,108,2024-11-12 20:04:40.772530,2024-11-12 20:04:40.772536
121,5,7,CI1007,5,92,2024-11-12 20:04:40.775494,2024-11-12 20:04:40.775500
122,6,7,OPT,5,112,2024-11-12 20:04:40.778278,2024-11-12 20:04:40.778284
123,7,7,OPT,5,112,2024-11-12 20:04:40.781030,2024-11-12 20:04:40.781036
124,1,8,TCC2,5,114,2024-11-12 20:04:40.784025,2024-11-12 20:04:40.784030
125,2,8,CI1005,5,91,2024-11-12 20:04:40.787024,2024-11-12 20:04:40.787030
126,5,8,CI1211,5,105,2024-11-12 20:04:40.790016,2024-11-12 20:04:40.790022
127,6,8,OPT,5,112,2024-11-12 20:04:40.792810,2024-11-12 20:04:40.792817
128,7,8,OPT,5,112,2024-11-12 20:04:40.795632,2024-11-12 20:04:40.795638
129,4,9,Estágio,5,99,2024-11-12 20:04:40.798833,2024-11-12 20:04:40.798838
